id,brand_code,canonical_name,normalized_name,english_name,country_code,category,description,status,created_at,updated_at
,BRAND_MONTBELL,몽벨,몽벨,MONTBELL,,아웃도어,신발겸업,ACTIVE,,
,BRAND_MONGJINZON,몽진존,몽진존,MONGJINZON,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MONCLER,몽클레르,몽클레르,MONCLER,,해외 럭셔리·컨템포러리,,ACTIVE,,
,BRAND_MONKEY_FLOWER,몽키플라워,몽키플라워,MONKEY FLOWER,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MONPLISSE,몽플리쎄,몽플리쎄,MONPLISSE,,국내 컨템포러리·디자이너,,ACTIVE,,
,BRAND_MUGON,무건,무건,MUGON,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MUNICH,무니치,무니치,MUNICH,,신발·스니커즈,,ACTIVE,,
,BRAND_MOODNIGHT,무드나잇,무드나잇,MOODNIGHT,,신발·스니커즈,,ACTIVE,,
,BRAND_MOODNPLE,무드앤플,무드앤플,MOODNPLE,,신발·스니커즈,,ACTIVE,,
,BRAND_MOOD_INSIDE_WOMAN,무드인사이드 우먼,무드인사이드 우먼,MOOD INSIDE WOMAN,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MURRA,무라,무라,MURRA,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MUMUTENG,무무탱,무무탱,MUMUTENG,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MOVV,무브,무브,MOVV,,신발·스니커즈,,ACTIVE,,
,BRAND_MUBIG_ARCHIVE,무비그아카이브,무비그아카이브,MUBIG.ARCHIVE,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MUCENT,무센트,무센트,MUCENT,,국내 캐주얼·스트릿,신발겸업,ACTIVE,,
,BRAND_MUSINSA_STANDARD,무신사 스탠다드,무신사 스탠다드,MUSINSA STANDARD,,무신사 자체 브랜드,신발겸업,ACTIVE,,
,BRAND_MUSINSA_STANDARD_SPORTS,무신사 스탠다드 스포츠,무신사 스탠다드 스포츠,MUSINSA STANDARD SPORTS,,무신사 자체 브랜드,신발겸업,ACTIVE,,
,BRAND_MUSINSA_STANDARD_WOMAN,무신사 스탠다드 우먼,무신사 스탠다드 우먼,MUSINSA STANDARD WOMAN,,무신사 자체 브랜드,신발겸업,ACTIVE,,
,BRAND_MUAHMUAH,무아무아,무아무아,MUAHMUAH,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MOOZ,무지,무지,MOOZ,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MUZIKTIGER,무직타이거,무직타이거,MUZIKTIGER,,신발·스니커즈,,ACTIVE,,
,BRAND_MOOCHUU,무츄,무츄,MOOCHUU,,신발·스니커즈,,ACTIVE,,
,BRAND_MOOK,무크,무크,MOOK,,신발·스니커즈,,ACTIVE,,
,BRAND_MOONSUN,문선,문선,MOONSUN,,신발·스니커즈,,ACTIVE,,
,BRAND_MOONSTAR,문스타,문스타,MOONSTAR,,신발·스니커즈,,ACTIVE,,
,BRAND_MURMURE,뮈르뮈르,뮈르뮈르,MURMURE,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MUEMUER,뮈뮈에르,뮈뮈에르,MUEMUER,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MUGUET,뮤게,뮤게,MUGUET,,국내 컨템포러리·디자이너,,ACTIVE,,
,BRAND_MUNIER,뮤니에,뮤니에,MUNIER,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MUER,뮤에,뮤에,MUER,,국내 컨템포러리·디자이너,,ACTIVE,,
,BRAND_MUSEMONT,뮤즈몽,뮤즈몽,MUSEMONT,,신발·스니커즈,,ACTIVE,,
,BRAND_MUSE_BY_ROSE,뮤즈바이로즈,뮤즈바이로즈,MUSE BY ROSE,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MUTEMUSE,뮤트뮤즈,뮤트뮤즈,MUTEMUSE,,신발·스니커즈,,ACTIVE,,
,BRAND_MULIKA,뮬리카,뮬리카,MULIKA,,국내 캐주얼·스트릿,,ACTIVE,,
